Gender,Age,Race,Education,Political Affiliation,Political Leaning,Trump,Finances,Fair Elections,Ranked Choice,Woman President,Universal Healthcare,Humanity,America,Trump Reelection,Trump Nuke,War Russia,War China,Next Generation
DK/REF,20,DK/REF,High school or less,Republican,Conservative,Strongly Approve,DK/REF,"Yes, very confident",No,No,No,Yes,Yes,Very Likely,Very Likely,No,No,Worse World
Female,34,White,Some college,Independent,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Better World
Male,82,White,Graduate degree,Independent,Moderate,Somewhat Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Male,42,White,College degree,Independent,Conservative,Strongly Approve,Somewhat Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Female,65,Black,College degree,DK/REF,Moderate,Somewhat Disapprove,Not Very Often,No,Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World
Male,66,White,High school or less,DK/REF,Moderate,Somewhat Approve,Somewhat Often,"Yes, very confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,81,White,College degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Male,87,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,No,DK/REF,Somewhat Likely,Somewhat Likely,No,No,Worse World
Male,49,White,High school or less,Republican,Liberal,Neither approve nor disapprove,Very Often,No,Yes,Yes,Yes,No,Yes,Not at all likely,Very Likely,Yes,Yes,Worse World
Female,72,Black,High school or less,Independent,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,No,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF
Male,70,Black,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,Yes,Worse World
Male,46,White,College degree,Independent,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,61,Black,College degree,Democrat,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,No,Not at all likely,Very Likely,Yes,No,Worse World
Male,50,White,College degree,Democrat,Conservative,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,No,No,No,Not at all likely,Not at all likely,No,No,Worse World
Female,82,Black,High school or less,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Male,45,White,Some college,Republican,Moderate,Strongly Approve,Very Often,No,Yes,Yes,No,No,No,Somewhat Likely,Not at all likely,Yes,Yes,Worse World
Male,84,White,Graduate degree,Independent,Moderate,Somewhat Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Male,40,White,High school or less,Independent,Conservative,Somewhat Approve,DK/REF,"Yes, very confident",Yes,Yes,DK/REF,DK/REF,DK/REF,Very Likely,Somewhat Likely,Yes,No,Worse World
Female,61,White,College degree,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,DK/REF,No,No,Better World
Male,78,White,College degree,Independent,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,No,No,Not at all likely,Very Likely,Yes,Yes,Worse World
Female,63,Black,DK/REF,Democrat,Moderate,Strongly Approve,DK/REF,"Yes, somewhat confident",Yes,Yes,No,No,No,Very Likely,Somewhat Likely,Yes,No,Better World
Male,59,Latino,High school or less,Democrat,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Better World
Female,42,White,Graduate degree,Independent,Moderate,Neither approve nor disapprove,Somewhat Often,No,Yes,Yes,No,No,No,Somewhat Likely,Somewhat Likely,DK/REF,Yes,Worse World
Female,36,Latino,Some college,Republican,Conservative,DK/REF,Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Very Likely,Somewhat Likely,No,No,Worse World
Female,62,White,Graduate degree,Independent,Moderate,Strongly Disapprove,Not Very Often,No,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Female,73,White,Some college,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,52,Black,Graduate degree,Republican,Moderate,Strongly Approve,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,19,White,Some college,Independent,Conservative,Somewhat Approve,Very Often,"Yes, very confident",No,No,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,20,White,Some college,Democrat,Conservative,Strongly Approve,Somewhat Often,"Yes, very confident",Yes,No,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World
Male,46,White,High school or less,Independent,Moderate,Neither approve nor disapprove,Very Often,No,Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,57,White,High school or less,Independent,Moderate,Strongly Disapprove,Somewhat Often,DK/REF,DK/REF,Yes,DK/REF,No,DK/REF,Not at all likely,DK/REF,DK/REF,DK/REF,Worse World
Male,72,White,Some college,Democrat,Moderate,Somewhat Approve,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Very Likely,Yes,Yes,Worse World
Male,36,White,Some college,Democrat,Moderate,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,Yes,Better World
Female,60,White,College degree,DK/REF,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,DK/REF,No,No,DK/REF,Very Likely,Not at all likely,No,No,Worse World
Female,56,White,College degree,Independent,Moderate,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Worse World
Male,20,Asian,High school or less,Independent,Moderate,Neither approve nor disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,62,White,Graduate degree,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,65,White,DK/REF,Republican,Conservative,Strongly Approve,Not Very Often,No,No,DK/REF,DK/REF,No,No,Very Likely,Not at all likely,DK/REF,No,DK/REF
Male,58,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,49,White,College degree,Independent,Moderate,Strongly Approve,Somewhat Often,No,No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,89,White,High school or less,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,DK/REF,Yes,Somewhat Likely,Somewhat Likely,Yes,No,DK/REF
Male,33,White,Other,Republican,Conservative,Somewhat Disapprove,Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Not at all likely,Yes,Yes,Worse World
Male,63,White,College degree,Independent,Conservative,Strongly Disapprove,Somewhat Often,No,DK/REF,Yes,No,DK/REF,DK/REF,Not at all likely,Not at all likely,DK/REF,No,Worse World
Female,64,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World
Male,55,White,High school or less,Independent,Moderate,Strongly Approve,Very Often,No,Yes,Yes,No,No,No,Very Likely,Not at all likely,No,Yes,Worse World
Male,84,Black,Other,Democrat,Liberal,Strongly Disapprove,Very Often,No,No,Yes,Yes,No,Yes,Not at all likely,Very Likely,Yes,Yes,Worse World
Female,74,White,High school or less,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,DK/REF,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,61,White,College degree,Independent,Moderate,Strongly Disapprove,Somewhat Often,"Yes, very confident",DK/REF,Yes,Yes,No,No,DK/REF,Very Likely,No,No,DK/REF
Male,62,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,78,DK/REF,College degree,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,DK/REF,Very Likely,Not at all likely,No,No,Better World
Female,60,White,Graduate degree,Democrat,Liberal,DK/REF,Not Very Often,DK/REF,DK/REF,Yes,Yes,No,Yes,Not at all likely,DK/REF,Yes,Yes,Better World
Male,70,Black,Some college,Independent,DK/REF,DK/REF,Not Very Often,DK/REF,Yes,DK/REF,DK/REF,Yes,Yes,Not at all likely,Not at all likely,No,No,DK/REF
Female,73,White,Some college,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,No,No,No,Somewhat Likely,Somewhat Likely,No,No,Worse World
Female,67,White,College degree,DK/REF,DK/REF,DK/REF,Not Very Often,"Yes, somewhat confident",No,No,No,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Worse World
Female,71,White,Some college,DK/REF,Liberal,Strongly Disapprove,Very Often,No,No,Yes,No,No,No,Not at all likely,Somewhat Likely,Yes,No,Worse World
Male,75,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,DK/REF,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World
Female,58,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,No,Better World
Female,76,White,Some college,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",DK/REF,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World
Female,75,White,College degree,Independent,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,85,White,College degree,Independent,Moderate,Somewhat Disapprove,Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,68,White,Some college,Democrat,Moderate,Strongly Disapprove,Somewhat Often,No,No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,76,White,Graduate degree,Republican,Conservative,Strongly Approve,Not Very Often,DK/REF,No,Yes,No,Yes,No,Very Likely,Not at all likely,DK/REF,No,Better World
Male,50,DK/REF,Some college,DK/REF,DK/REF,Strongly Disapprove,Somewhat Often,DK/REF,Yes,DK/REF,Yes,Yes,DK/REF,Somewhat Likely,Not at all likely,DK/REF,DK/REF,DK/REF
Male,21,White,College degree,Independent,Moderate,Strongly Disapprove,Very Often,No,No,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Better World
Female,25,Latino,High school or less,Independent,Moderate,Strongly Disapprove,Not Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Somewhat Likely,Yes,No,Worse World
Female,57,White,College degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,85,White,Some college,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,55,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,22,Asian,College degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,No,No,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World
Female,19,Latino,College degree,Republican,Conservative,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,63,Black,Some college,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Male,48,White,College degree,Republican,Liberal,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World
Other,28,White,Some college,Democrat,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
Female,52,Black,High school or less,Independent,Moderate,DK/REF,Somewhat Often,No,Yes,Yes,DK/REF,No,No,Not at all likely,Somewhat Likely,Yes,No,Worse World
Female,36,White,Graduate degree,Republican,Moderate,Neither approve nor disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,DK/REF,No,Yes,Worse World
Female,35,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,Yes,No,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World
Female,67,Latino,High school or less,Democrat,Moderate,Strongly Disapprove,Somewhat Often,No,No,Yes,Yes,No,No,Not at all likely,Very Likely,Yes,No,Worse World
Male,74,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Female,22,Latino,Graduate degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
Male,65,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,69,White,Some college,Independent,Moderate,Strongly Disapprove,Not Very Often,DK/REF,Yes,Yes,Yes,Yes,No,Not at all likely,Not at all likely,Yes,No,Worse World
Female,72,White,High school or less,DK/REF,DK/REF,Somewhat Approve,Very Often,"Yes, very confident",No,DK/REF,Yes,Yes,Yes,Very Likely,DK/REF,No,No,Better World
Female,69,White,Some college,Republican,Conservative,Strongly Approve,Very Often,No,DK/REF,No,No,Yes,Yes,Very Likely,Somewhat Likely,No,No,DK/REF
Male,85,White,High school or less,Independent,Moderate,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,Yes,No,Better World
Male,54,Black,Graduate degree,Independent,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Female,53,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,No,No,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World
Male,34,White,Some college,Independent,DK/REF,Somewhat Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,56,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,Yes,Yes,Better World
Female,87,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,DK/REF,DK/REF,Yes,DK/REF,No,DK/REF,Very Likely,Not at all likely,DK/REF,No,Worse World
Male,55,White,High school or less,Independent,Moderate,Neither approve nor disapprove,Very Often,"Yes, very confident",Yes,Yes,No,No,Yes,Not at all likely,Not at all likely,No,No,Worse World
Male,69,White,Graduate degree,Republican,Moderate,Strongly Approve,Very Often,"Yes, somewhat confident",DK/REF,Yes,No,Yes,No,Very Likely,Somewhat Likely,No,No,Worse World
Male,38,White,Graduate degree,Independent,Liberal,Somewhat Approve,Very Often,No,No,Yes,DK/REF,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,88,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World
Female,93,White,College degree,Republican,Conservative,Somewhat Approve,Somewhat Often,"Yes, very confident",No,No,No,No,No,Somewhat Likely,Not at all likely,No,No,Worse World
Male,65,White,Some college,Independent,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,No,Yes,Not at all likely,Not at all likely,Yes,No,Worse World
Female,62,White,High school or less,Democrat,Liberal,Strongly Disapprove,Very Often,No,DK/REF,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World
Female,89,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,No,Yes,DK/REF,Yes,Very Likely,Not at all likely,No,No,Better World
Male,64,White,High school or less,Independent,Conservative,DK/REF,Not Very Often,DK/REF,No,Yes,Yes,Yes,Yes,Very Likely,Very Likely,Yes,Yes,Better World
Female,82,White,High school or less,Independent,Moderate,DK/REF,Somewhat Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World
Female,69,White,High school or less,Democrat,DK/REF,Strongly Disapprove,Very Often,DK/REF,Yes,Yes,Yes,DK/REF,DK/REF,Somewhat Likely,Very Likely,Yes,Yes,Worse World
Female,72,White,College degree,Republican,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, very confident",DK/REF,No,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,52,Black,College degree,Democrat,Liberal,Strongly Disapprove,DK/REF,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,DK/REF,No,No,Better World
Male,61,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Female,60,Black,College degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,DK/REF,Yes,Yes,No,Yes,Yes,Not at all likely,DK/REF,No,No,Better World
Female,61,White,Some college,Independent,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Very Likely,DK/REF,No,No,Better World
Other,88,Asian,Graduate degree,Independent,Moderate,Strongly Approve,Very Often,No,No,No,No,No,No,Very Likely,Very Likely,Yes,Yes,Worse World
Male,63,Black,Some college,DK/REF,Moderate,DK/REF,Somewhat Often,No,Yes,No,No,No,No,Not at all likely,Not at all likely,No,No,Worse World
Male,60,White,High school or less,Democrat,Conservative,Strongly Disapprove,Very Often,No,Yes,No,No,No,No,Not at all likely,Very Likely,Yes,Yes,Better World
Male,60,White,Some college,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,Yes,Yes,Worse World
Female,92,White,High school or less,Independent,Moderate,Strongly Disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,Yes,No,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,70,White,College degree,Republican,Moderate,DK/REF,Not Very Often,No,No,Yes,Yes,Yes,No,Somewhat Likely,Somewhat Likely,No,No,Better World
Female,80,White,College degree,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,78,White,High school or less,Republican,Moderate,Somewhat Approve,Not Very Often,"Yes, very confident",No,DK/REF,DK/REF,Yes,Yes,Somewhat Likely,Not at all likely,No,No,DK/REF
Male,78,White,High school or less,Independent,DK/REF,Neither approve nor disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,81,White,High school or less,Independent,Moderate,Strongly Approve,Not Very Often,DK/REF,DK/REF,DK/REF,No,Yes,Yes,DK/REF,Not at all likely,DK/REF,DK/REF,DK/REF
Female,68,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,No,No,No,No,No,No,Very Likely,Not at all likely,No,No,Worse World
Male,85,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Very Likely,Somewhat Likely,No,No,Better World
Female,91,White,High school or less,DK/REF,DK/REF,DK/REF,Not Very Often,DK/REF,Yes,DK/REF,Yes,DK/REF,DK/REF,Not at all likely,DK/REF,Yes,No,Worse World
Female,70,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,DK/REF,No,No,No,Yes,Yes,Very Likely,Somewhat Likely,No,No,Better World
Male,74,White,High school or less,Democrat,DK/REF,Neither approve nor disapprove,Very Often,"Yes, very confident",Yes,No,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,49,White,Graduate degree,Independent,Conservative,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Male,80,Black,College degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,No,No,No,No,No,Not at all likely,DK/REF,No,DK/REF,Worse World
Male,84,White,High school or less,Democrat,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
Male,74,White,College degree,Republican,Conservative,Somewhat Approve,Not Very Often,DK/REF,Yes,DK/REF,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World
Male,76,White,College degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,DK/REF,No,DK/REF,DK/REF,Yes,Yes,Not at all likely,Somewhat Likely,DK/REF,No,Worse World
Female,65,White,High school or less,Independent,DK/REF,Neither approve nor disapprove,DK/REF,No,Yes,Yes,No,No,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
Female,21,White,Some college,Independent,Liberal,Neither approve nor disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,Yes,Yes,Better World
Female,40,White,Some college,Republican,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,Yes,Worse World
Male,18,White,High school or less,Republican,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World
Male,56,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,No,No,Very Likely,Not at all likely,No,No,Worse World
Female,80,White,Some college,Independent,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,DK/REF,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,77,DK/REF,Some college,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Yes,No,No,DK/REF,Not at all likely,DK/REF,Yes,DK/REF,Worse World
Female,57,White,College degree,DK/REF,Moderate,Strongly Disapprove,Somewhat Often,DK/REF,Yes,Yes,No,No,No,Not at all likely,Very Likely,Yes,Yes,DK/REF
Other,44,White,Graduate degree,Independent,Conservative,Strongly Approve,Not Very Often,No,No,No,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Female,24,White,College degree,Independent,Moderate,Neither approve nor disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World
Female,60,White,Graduate degree,Independent,Moderate,Somewhat Approve,Somewhat Often,No,No,Yes,No,Yes,No,Not at all likely,Not at all likely,No,No,Worse World
Female,37,White,High school or less,Republican,DK/REF,Strongly Disapprove,Very Often,No,Yes,Yes,No,No,Yes,Very Likely,Very Likely,Yes,Yes,Worse World
Other,88,Other,High school or less,Independent,Conservative,DK/REF,Very Often,No,Yes,Yes,Yes,Yes,Yes,Very Likely,Very Likely,No,Yes,Worse World
Male,39,White,College degree,Independent,Moderate,Somewhat Approve,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World
Male,56,White,College degree,Independent,Moderate,Neither approve nor disapprove,Somewhat Often,No,No,Yes,No,Yes,No,Somewhat Likely,Not at all likely,No,No,Better World
Male,25,White,College degree,Independent,Moderate,Somewhat Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,Yes,Very Likely,DK/REF,DK/REF,DK/REF,Better World
Female,51,White,College degree,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, somewhat confident",Yes,No,No,Yes,Yes,Very Likely,Somewhat Likely,DK/REF,No,Worse World
Female,58,Black,Some college,Democrat,Moderate,Strongly Disapprove,Somewhat Often,No,No,Yes,Yes,Yes,Yes,Very Likely,Very Likely,Yes,No,Worse World
Female,19,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,No,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
Male,43,White,Some college,DK/REF,Moderate,Strongly Disapprove,Very Often,"Yes, very confident",DK/REF,Yes,No,No,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,21,White,College degree,Independent,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Better World
Male,25,White,High school or less,Democrat,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World
Male,57,Latino,Graduate degree,Democrat,Conservative,Strongly Disapprove,Not Very Often,No,No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,No,Better World
Female,79,White,Graduate degree,Independent,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,DK/REF,Yes,Yes,Not at all likely,DK/REF,No,No,Better World
Male,76,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,No,No,Yes,Yes,Yes,Yes,Very Likely,Very Likely,No,No,Better World
Female,74,White,Graduate degree,DK/REF,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Female,57,White,College degree,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Worse World
Other,21,Asian,High school or less,DK/REF,DK/REF,Strongly Approve,DK/REF,No,No,No,No,Yes,Yes,DK/REF,Not at all likely,No,No,Worse World
Male,86,White,High school or less,Independent,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,No,Not at all likely,Somewhat Likely,Yes,Yes,Worse World
Female,28,White,High school or less,Democrat,Moderate,Somewhat Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World
Female,55,White,High school or less,DK/REF,DK/REF,Strongly Approve,Very Often,"Yes, very confident",No,Yes,No,No,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
Male,47,White,Some college,Republican,Moderate,Strongly Approve,Somewhat Often,"Yes, very confident",No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,Yes,Better World
Male,69,White,College degree,Independent,Moderate,Somewhat Disapprove,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
Male,20,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
